departmentCode,workbookName,normalizedName,category,domesticOrOverseas,disposition,rollupParentCode,mergedIntoCode,sourceSheets,hasDedicatedDetailSheet,appearsInSummarySheet,isStage2ATestDepartment,isExistingRealDepartment,exclusionReason
"11002","研發事業本部","研發事業本部","R","domestic","PARENT_ONLY",,,"","false","false","false","false",
"11012","研發二部","研發二部","R","domestic","BUDGET_OWNER","11002",,"研-研二","true","true","false","false",
"11022","工設機構部","工設機構部","R","domestic","BUDGET_OWNER",,,"研-工設","true","true","false","false",
"11102","電源研發事業處","電源研發事業處","R","domestic","PARENT_ONLY","11002",,"","false","false","false","false",
"11112","電源一部(2024/5停用)","電源一部","R","domestic","MERGED",,"11122","研-電一(電研X)","true","false","false","false","Superseded by 11122 per ERP部門's own note; retained here only for completeness of the reconciliation, not as a Stage 2B budgeting unit."
"11122","電源研發部","電源研發部","R","domestic","BUDGET_OWNER","11102",,"研-電二(電研)","true","true","true","false",
"11132","電源軟體","電源軟體","R","domestic","BUDGET_OWNER","11102",,"研-電軟","true","true","false","false",
"11202","量測研發事業處","量測研發事業處","R","domestic","PARENT_ONLY","11002",,"","false","false","false","false",
"11212","量測研發部","量測研發部","R","domestic","BUDGET_OWNER","11202",,"研-量測","true","true","false","false",
"11222","研發工程部","研發工程部","R","domestic","BUDGET_OWNER",,,"研-工程","true","true","false","false",
"11302","通用儀器研發事業處","通用儀器研發事業處","R","domestic","PARENT_ONLY","11002",,"","false","false","false","false",
"11322","研發一部","研發一部","R","domestic","BUDGET_OWNER","11302",,"研-研一","true","true","true","false",
"11402","事業投資發展處","事業投資發展處","R","domestic","BUDGET_OWNER",,,"研-事業發展","true","true","false","false",
"13231","研發部","研發部（安防事業處）","R","domestic","BUDGET_OWNER","13201",,"研-安防","true","true","false","false",
"10003","董事長室","董事長室","M","domestic","BUDGET_OWNER","17003",,"管-董事長室","true","true","false","false",
"10103","稽核室","稽核室","M","domestic","BUDGET_OWNER","17003",,"管-稽核室","true","true","false","false",
"10203","經營企劃室","經營企劃室","M","domestic","BUDGET_OWNER","17003",,"管-經營企劃","true","true","false","false",
"10303","勞安室","勞安室","M","domestic","BUDGET_OWNER","17003",,"管-勞安室","true","true","false","false",
"17003","管理本部","管理本部","M","domestic","PARENT_ONLY",,,"","false","false","false","false",
"17103","資訊處","資訊處","M","domestic","BUDGET_OWNER","17003",,"管-資訊","true","true","true","false",
"17203","財務管理處","財務管理處","M","domestic","BUDGET_OWNER","17003",,"管-財務","true","true","false","true",
"17303","行政管理處","行政管理處","M","domestic","BUDGET_OWNER","17003",,"管-行政","true","true","true","false",
"12001","第一營業本部","第一營業本部","S","domestic","BUDGET_OWNER",,,"銷-第一營業本部","true","true","false","false",
"12011","系統整合部","系統整合部","S","domestic","BUDGET_OWNER",,,"銷-系統整合","true","true","false","false",
"12101","台灣營業處","台灣營業處","S","domestic","PARENT_ONLY",,,"","false","true","false","false",
"12111","台北","台北","S","domestic","BUDGET_OWNER","12101",,"銷-台灣台北","true","true","true","false",
"12121","台中","台中","S","domestic","BUDGET_OWNER","12101",,"銷-台灣台中","true","true","false","false",
"12131","高雄","高雄","S","domestic","BUDGET_OWNER","12101",,"銷-台灣高雄","true","true","false","false",
"12141","儀器-SI特販部(無)","儀器-SI特販部","S","domestic","INACTIVE",,,"銷-經營拓展SI特販(x)","true","false","false","false","Marked '(無)' in ERP部門 and structurally excluded from every 2025 rollup formula."
"12201","行銷拓展處","行銷拓展處","S","domestic","PARENT_ONLY",,,"","false","true","false","false",
